latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,sensor,brightness,bright_t31,province
0.68771,117.55492,301.14,0.44,0.38,2026-01-13,1730,N,VIIRS,n,2.0,277.24,0.91,N,2,VIIRS_SNPP_SP,,,Kalimantan Timur
0.68833,117.55099,295.13,0.44,0.38,2026-01-13,1730,N,VIIRS,n,2.0,275.19,0.25,N,2,VIIRS_SNPP_SP,,,Kalimantan Timur
-1.27172,114.74004,302.38,0.39,0.44,2026-01-13,1730,N,VIIRS,n,2.0,286.45,0.38,N,0,VIIRS_SNPP_SP,,,Kalimantan Selatan
0.68295,117.56219,306.29,0.44,0.38,2026-01-13,1730,N,VIIRS,n,2.0,284.75,0.94,N,2,VIIRS_SNPP_SP,,,Kalimantan Timur
0.67528,117.56503,307.34,0.44,0.38,2026-01-13,1730,N,VIIRS,n,2.0,286.41,1.77,N,2,VIIRS_SNPP_SP,,,Kalimantan Timur
-1.24599,116.81284,309.51,0.45,0.39,2026-01-13,1730,N,VIIRS,n,2.0,266.95,1.71,N,3,VIIRS_SNPP_SP,,,Kalimantan Timur
1.1528,117.8336,328.1,0.33,0.55,2026-01-14,611,N,VIIRS,n,2.0,279.54,1.85,D,0,VIIRS_SNPP_SP,,,Kalimantan Timur
1.88805,117.80756,335.45,0.34,0.56,2026-01-14,611,N,VIIRS,n,2.0,281.62,1.62,D,0,VIIRS_SNPP_SP,,,Kalimantan Utara
1.99181,117.51164,346.32,0.32,0.55,2026-01-14,611,N,VIIRS,n,2.0,285.66,5.16,D,0,VIIRS_SNPP_SP,,,Kalimantan Utara
2.05793,117.4794,330.33,0.32,0.55,2026-01-14,611,N,VIIRS,n,2.0,287.4,1.75,D,0,VIIRS_SNPP_SP,,,Kalimantan Utara
1.77717,117.95607,304.43,0.54,0.51,2026-01-14,1711,N,VIIRS,n,2.0,286.06,1.05,N,0,VIIRS_SNPP_SP,,,Kalimantan Utara
2.09178,117.56556,326.94,0.33,0.55,2026-01-14,611,N,VIIRS,n,2.0,290.83,1.33,D,0,VIIRS_SNPP_SP,,,Kalimantan Utara
2.11321,117.53511,333.47,0.33,0.55,2026-01-14,611,N,VIIRS,n,2.0,288.0,1.74,D,0,VIIRS_SNPP_SP,,,Kalimantan Utara
2.11063,117.53593,334.93,0.33,0.55,2026-01-14,612,N,VIIRS,n,2.0,288.64,2.09,D,0,VIIRS_SNPP_SP,,,Kalimantan Utara
4.00957,117.21759,355.14,0.33,0.55,2026-01-14,612,N,VIIRS,n,2.0,289.43,10.33,D,0,VIIRS_SNPP_SP,,,Kalimantan Utara
4.01,117.22061,354.78,0.33,0.55,2026-01-14,612,N,VIIRS,n,2.0,289.45,10.33,D,0,VIIRS_SNPP_SP,,,Kalimantan Utara
4.25344,117.39325,345.96,0.34,0.56,2026-01-14,612,N,VIIRS,n,2.0,288.05,5.16,D,0,VIIRS_SNPP_SP,,,Kalimantan Utara
-2.83625,110.27291,296.98,0.75,0.77,2026-01-14,1712,N,VIIRS,n,2.0,265.76,0.8,N,0,VIIRS_SNPP_SP,,,Kalimantan Barat
-2.05928,115.57114,302.95,0.34,0.56,2026-01-14,1712,N,VIIRS,n,2.0,286.11,0.98,N,2,VIIRS_SNPP_SP,,,Kalimantan Selatan
